111111,IND,P,,W/ro,13/45 Schroeder Cliff, Poblacion, Bais 1409 Zamboanga del Norte,,,4405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111112,IND,P,,Mrs.,92 Cruickshank Trail, Santa Maria 3292 Eastern Samar,,,,3365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111113,IND,P,,Lt.,90 Kessler Ville Suite 013, Zaragoza 2691 Isabela,,,,5603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111114,IND,P,,Sr.,20A Olson Bridge Apt. 455, Guindulungan 8017 Cotabato,,,,3216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111115,IND,P,,Inspector,47 Mueller Cape Suite 560, Poblacion, Lucena 0704 Zamboanga Sibugay,,,6498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111116,IND,P,,Mr.,76 Luettgen Burg Suite 150, Poblacion, Tanjay 4541 Zamboanga del Norte,,,6979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111117,IND,P,,Inspector,79A/41 Schamberger Ville Apt. 337, Poblacion, Batangas City 8637 Catanduanes,,,9675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111118,IND,P,,Captain,27 Fritsch Views Apt. 352, San Vicente 6522 Agusan del Norte,,,,7319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111119,IND,P,,Mr.,65A Russel Meadow Suite 046, Kalingalan Caluang 3038 Marinduque,,,,2372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111120,IND,P,,Inspector,76A Conn Flat Suite 899, Poblacion, Las Piñas 2744 Maguindanao,,,3349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111121,IND,P,,Dr.,43 Okuneva Groves Suite 344, Kalilangan 6950 Zamboanga Sibugay,,,,5223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111122,IND,P,,Master,89 Beatty Ridges Suite 778, Pantabangan 5090 Benguet,,,,5678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111123,IND,P,,W/ro,75 Romaguera Extensions, Digos City 0377 Nueva Vizcaya,,,,6894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111124,IND,P,,Mrs.,52A Osinski Row Suite 857, Lagangilang 5869 Tarlac,,,,5084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111125,IND,P,,Captain,23A Beahan Meadow, Poblacion, Vigan 8406 Surigao del Norte,,,1016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111126,IND,P,,Unknown,35A Dare Track Apt. 009, Poblacion, Tagum 8262 Basilan,,,1434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111127,IND,P,,Dr.,00 Orn Lake Suite 047, Tagapul-an 7568 Zamboanga del Nort,,,,1374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111128,IND,P,,Prof.,35 O'Conner Terrace Apt. 655, Mallig 8781 Batangas,,,,8077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111129,IND,P,,Sr.,77A Parisian Mountains Suite 307, Manapla 4625 Mountain Province,,,,9467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111130,IND,P,,Inspector,88A Crist Stravenue Apt. 020, General Mamerto Natividad 7284 La ,,,,8299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111131,IND,P,,Unknown,36A Renner Summit, Poblacion, Pasig 0889 Biliran,,,8804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111132,IND,P,,Miss,07 Keebler Coves Suite 360, Poblacion, Pasig 3723 Camarines Sur,,,3888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111133,IND,P,,Ato,28/77 Donnelly Mountain, Kabasalan 7618 Palawan,,,,2798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111134,IND,P,,Mr.,21A/55 Connelly Lodge Apt. 281, San Narciso 2453 Sulu,,,,2194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111135,IND,P,,Mr.,98A/97 Barrows Lake, Santo Tomas 6218 Bukidnon,,,,4206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111136,IND,P,,Ato,96 Schultz Forge Suite 692, Poblacion, Tabuk 8152 Ilocos Norte,,,9729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111137,IND,P,,Inspector,91A Adams Manors Suite 184, Old Panamao 1803 Eastern Samar,,,,8373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
